sample_id,run,stage1_pred,s1_feat_ms,s1_inf_ms,s1_total_ms,s2a_audio_feat_ms,s2a_txt_ms,s2a_inf_ms,s2a_total_ms,s2b_tok_ms,s2b_inf_ms,s2b_total_ms,pipeline_ms
0,0,high,847.5029999972321,2.170699997805059,849.6736999950372,1193.4856999723706,173.60280000139028,26.435099978698418,1393.5235999524593,2.896199992392212,1210.5580999923404,1213.4542999847326,2243.1972999474965
0,1,high,561.1561999830883,0.8631999953649938,562.0193999784533,795.7162999955472,63.729100016644225,22.934399981750175,882.3797999939416,1.6890999977476895,307.96139998710714,309.65049998485483,1444.3991999723949
0,2,high,362.192899978254,0.9141000045929104,363.1069999828469,522.3423999850638,49.120500014396384,23.206799989566207,594.6696999890264,1.4828999992460012,284.87639999366365,286.35929999290965,957.7766999718733
0,3,high,310.41380000533536,0.7912000000942498,311.2050000054296,549.7916000022087,52.60170000838116,17.78510000440292,620.1784000149928,1.4313999854493886,569.1660000011325,570.5973999865819,931.3834000204224
0,4,high,314.21760001103394,1.136700011556968,315.3543000225909,556.7336999811232,57.41959999431856,23.027799994451925,637.1810999698937,1.5668000269215554,299.6982999902684,301.26510001719,952.5353999924846
1,0,high,303.47849999088794,1.115499995648861,304.5939999865368,616.1507999931928,108.49930002586916,13.754299987340346,738.4044000064023,1.298899995163083,329.1927999816835,330.4916999768466,1042.998399992939
1,1,high,220.37539997836575,1.0092000011354685,221.38459997950122,382.1950999845285,49.748600024031475,21.94969999254681,453.8934000011068,1.6823000041767955,322.08749998244457,323.76979998662136,675.277999980608
1,2,high,244.1592999966815,0.9288000001106411,245.08809999679215,358.666699990863,57.34850000590086,18.18529999582097,434.2004999925848,1.3407999940682203,336.04369999375194,337.38449998782016,679.288599989377
1,3,high,221.03780001634732,0.9148999815806746,221.952699997928,403.63780001644045,57.74389998987317,15.018000005511567,476.3997000118252,1.2662999797612429,288.71339999022894,289.9796999699902,698.3524000097532
1,4,high,229.62870000628754,0.8879000088199973,230.51660001510754,389.5998999942094,64.26829998963512,202.2237000055611,656.0918999894056,9.011399990413338,513.6868999979924,522.6982999884058,886.6085000045132
2,0,high,190.3108999831602,0.9128999954555184,191.22379997861572,332.07810000749305,87.62159998877905,18.6282999929972,438.3279999892693,1.55570000060834,269.8489000031259,271.40460000373423,629.551799967885
2,1,high,226.6313000000082,0.9147000091616064,227.5460000091698,304.3331000080798,53.108899999642745,22.7115000016056,380.1535000093281,1.0753000096883625,256.95720000658184,258.0325000162702,607.6995000184979
2,2,high,206.69120000093244,0.7830999966245145,207.47429999755695,310.4435999994166,54.05909998808056,18.785799999022856,383.28849998652004,1.3085999817121774,274.2486000061035,275.5571999878157,590.762799984077
2,3,high,180.85659999633208,0.6544000061694533,181.51100000250153,302.24280001129955,50.78980000689626,15.65760001540184,368.69020003359765,1.440399995772168,266.8273000163026,268.2677000120748,550.2012000360992
2,4,high,207.18210001359694,0.9516999998595566,208.1338000134565,292.5443999993149,48.573499982012436,23.460399999748915,364.57829998107627,1.4601000002585351,300.76129999361,302.22139999386854,572.7120999945328
3,0,high,263.0370999977458,1.0504999954719096,264.08759999321774,385.2649000182282,76.66769999195822,15.105400001630187,477.0380000118166,1.174200006062165,213.28500000527129,214.45920001133345,741.1256000050344
3,1,high,219.78970000054687,1.204100000904873,220.99380000145175,379.74939998821355,51.44989999826066,21.97540001361631,453.1747000000905,1.2207000108901411,215.65260001807474,216.87330002896488,674.1685000015423
3,2,high,227.60819998802617,0.8679000020492822,228.47609999007545,472.4646999966353,51.66759999701753,23.56929998495616,547.701599978609,1.2298999936319888,208.44080002279952,209.6707000164315,776.1776999686845
3,3,high,227.97230002470315,0.8777000184636563,228.8500000431668,415.5386000056751,57.95439999201335,15.354300005128607,488.84730000281706,1.0655999940354377,214.27609998499975,215.34169997903518,717.6973000459839
3,4,high,216.9343999994453,1.039800001308322,217.97420000075363,391.40469999983907,53.400600008899346,23.715199989965186,468.5204999987036,1.184099994134158,211.53660002164543,212.72070001577958,686.4946999994572
4,0,high,272.73120000609197,0.8911000040825456,273.6223000101745,448.34390000323765,54.16880000848323,20.286699989810586,522.7994000015315,1.596999994944781,247.41149999317713,249.0084999881219,796.421700011706
4,1,high,297.3558999947272,0.9828000038396567,298.3386999985669,470.52630002144724,54.70639999839477,15.478000015718862,540.7107000355609,1.0929999989457428,241.37319999863394,242.46619999757968,839.0494000341278
4,2,high,285.5344999989029,0.8869000012055039,286.4214000001084,499.2097999784164,59.14570001186803,23.64200001466088,581.9975000049453,1.3168999867048115,239.35510002775118,240.672000014456,868.4189000050537
4,3,high,261.2871000019368,0.9726999851409346,262.2597999870777,491.2326000048779,47.86170000443235,26.799799990840256,565.8941000001505,1.552600006107241,284.31430002092384,285.8669000270311,828.1538999872282
4,4,high,249.15299998247065,0.883800006704405,250.03679998917505,430.8376999979373,52.60830000042915,15.000399987911806,498.44639998627827,1.1523999855853617,313.9458000077866,315.09819999337196,748.4831999754533
5,0,high,258.6322000133805,0.7954000029712915,259.4276000163518,391.90180000150576,56.09210001421161,18.82980001391843,466.8237000296358,1.5765999851282686,231.7542999808211,233.33089996594936,726.2513000459876
5,1,high,298.4762999985833,1.2919000000692904,299.76819999865256,433.8376999949105,57.570100005250424,22.890399995958433,514.2981999961194,0.8744999940972775,201.98109999182634,202.85559998592362,814.0663999947719
5,2,high,233.69590000947937,1.4531999768223614,235.14909998630174,439.7193999902811,50.49339999095537,23.550800018711016,513.7635999999475,1.142900000559166,199.57270001759753,200.7156000181567,748.9126999862492
