Mood,Recall,Specificity,Precision,F1,Error Rate
angry,0.6,0.9466666666666667,0.7894736842105263,0.6818181818181819,0.4
happy,0.5,0.7666666666666667,0.4166666666666667,0.45454545454545453,0.5
relaxed,0.28,0.7333333333333333,0.25925925925925924,0.2692307692307692,0.72
sad,0.42,0.82,0.4375,0.4285714285714286,0.5800000000000001
