Model,Accuracy,F1 Score,Std
RandomForest,0.45,0.4556601843289149,0.09617692030835671
SVM_Linear,0.45499999999999996,0.4352025902448907,0.0940744386111339
MLP,0.26,0.24079604167762061,0.1471393896956216
